SourceFile,Aperture,ApertureValue,APP14Flags0,APP14Flags1,ApplicationRecordVersion,Artist,AToB0,AToB1,AToB2,BitsPerSample,BlueMatrixColumn,BlueTRC,By-line,By-lineTitle,ChromaticAdaptation,ChromaticityChannel1,ChromaticityChannel2,ChromaticityChannel3,ChromaticityChannels,ChromaticityColorant,CMMFlags,CodedCharacterSet,ColorComponents,ColorSpace,ColorSpaceData,ColorTransform,ComponentsConfiguration,CompressedBitsPerPixel,ConnectionSpaceIlluminant,Contrast,Copyright,CopyrightNotice,CreateDate,Credit,CurrentIPTCDigest,DateCreated,DateTimeCreated,DateTimeOriginal,DCTEncodeVersion,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,DigitalCreationDate,DigitalZoomRatio,Directory,DocumentNotes,EncodingProcess,EnvelopeRecordVersion,ExifByteOrder,ExifToolVersion,ExifVersion,ExposureCompensation,ExposureMode,ExposureProgram,ExposureTime,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Flash,FlashpixVersion,FocalLength,FocalLength35efl,GainControl,GPSAltitude,GPSAltitudeRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSVersionID,GreenMatrixColumn,GreenTRC,ImageHeight,ImageSize,ImageWidth,ISO,JFIFVersion,Keywords,LensModel,LensSerialNumber,LightSource,LightValue,Luminance,Make,MakeAndModel,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,Megapixels,MeteringMode,MIMEType,Model,ModifyDate,NativeDisplayInfo,PrimaryPlatform,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nl-NL,ProfileDescriptionML-no-NO,ProfileDescriptionML-pt-BR,ProfileDescriptionML-sv-SE,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,ResolutionUnit,Saturation,SceneCaptureType,SensingMethod,SerialNumber,Sharpness,ShutterSpeed,Software,SubjectDistance,SubjectDistanceRange,SubSecCreateDate,SubSecDateTimeOriginal,SubSecModifyDate,SubSecTime,SubSecTimeDigitized,SubSecTimeOriginal,Technology,TimeCreated,UserComment,VideoCardGamma,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Warning,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution
data/images/untagged/inaturalist/photo_22.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:10:38+01:00,photo_22.png,rw-rw-r--,20 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",500,375x500,375,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.188,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_87.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:12:10+01:00,photo_87.png,rw-rw-r--,61 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",500,375x500,375,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.188,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_133.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:11:10+01:00,photo_133.png,rw-rw-r--,59 kB,JPEG,jpg,,,,,,,,,,,,,,,,500,375x500,375,,1.01,,,,,,,,,,,,,,,,0.188,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_123.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:11:12+01:00,photo_123.png,rw-rw-r--,106 kB,JPEG,jpg,,,,,,,,,,,,,,,,500,281x500,281,,1.01,,,,,,,,,,,,,,,,0.141,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:4:4 (1 1),1
data/images/untagged/inaturalist/photo_25.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:11:42+01:00,photo_25.png,rw-rw-r--,72 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",500,375x500,375,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.188,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_162.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:12:04+01:00,photo_162.png,rw-rw-r--,105 kB,JPEG,jpg,,,,,,,,,,,,,,,,500,375x500,375,,1.01,,,,,,,,,,,,,,,,0.188,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:4:4 (1 1),1
data/images/untagged/inaturalist/photo_2.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:11:02+01:00,photo_2.png,rw-rw-r--,109 kB,JPEG,jpg,,,,,,,,,,,,,,,,339,500x339,500,,1.01,,,,,,,,,,,,,,,,0.170,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inches,,,,,,,,,,,,,,,,,,,,,,,,,,240,,YCbCr4:4:4 (1 1),240
data/images/untagged/inaturalist/photo_136.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:11:12+01:00,photo_136.png,rw-rw-r--,85 kB,JPEG,jpg,,,,,,,,,,,,,,,,376,500x376,500,,1.01,,,,,,,,,,,,,,,,0.188,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_112.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:12:54+01:00,photo_112.png,rw-rw-r--,36 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",500,375x500,375,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.188,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_119.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:10:18+01:00,photo_119.png,rw-rw-r--,49 kB,JPEG,jpg,,,,,,,,,,,,,,,,500,500x500,500,,1.01,,,,,,,,,,,,,,,,0.250,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
