id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,lat,long,observe_timestamp,filename
49841714,Tue Jun 16 2020 16:07:08 GMT+0100 (GMT+1),2020-06-16,2020-06-16 14:07:08 UTC,Amsterdam,2401694,williamstephens56,2020-06-16 15:10:52 UTC,2020-06-16 15:16:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/49841714,https://inaturalist-open-data.s3.amazonaws.com/photos/79133833/medium.jpg,,,,1,0,False,3.0,"Buckinghamshire, England, GB",51.6301003924,-0.7698161649,5.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6301003924,-0.7698161649,2020-06-16,photo_115.png
49995873,2020-06-17 7:14:10 PM GMT+01:00,2020-06-17,2020-06-17 17:14:10 UTC,Amsterdam,3130050,nedwards86,2020-06-17 23:26:29 UTC,2021-10-10 19:48:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/49995873,https://inaturalist-open-data.s3.amazonaws.com/photos/79381978/medium.jpg,,,,2,0,False,2.0,"England, GB",51.8052407357,-0.4798596351,147.0,26132,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.8052407357,-0.4798596351,2020-06-17,photo_116.png
51110872,2020-06-27 5:24:32 PM GMT+01:00,2020-06-27,2020-06-27 15:24:32 UTC,Amsterdam,2968879,josephmoss,2020-06-27 16:28:51 UTC,2020-06-27 19:54:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51110872,https://inaturalist-open-data.s3.amazonaws.com/photos/81188645/medium.jpg,,,,2,0,False,2.0,"England, GB",51.572747173,-0.8406786569,,26196,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.572747173,-0.8406786569,2020-06-27,photo_117.png
51163582,2020-06-27 5:14:24 PM GMT+01:00,2020-06-27,2020-06-27 15:14:24 UTC,Amsterdam,1682331,hippy_linguist,2020-06-27 23:29:50 UTC,2021-08-28 16:09:49 UTC,research,,https://www.inaturalist.org/observations/51163582,https://static.inaturalist.org/photos/81273054/medium.jpeg,,,,2,0,False,2.0,"England, GB",51.6639200019,-0.9057970727,,26164,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6639200019,-0.9057970727,2020-06-27,photo_118.png
51514241,Sun Jul 19 2015 17:25:58 GMT+0100 (GMT+1),2015-07-19,2015-07-19 15:25:58 UTC,Amsterdam,3226229,nedursley,2020-06-30 20:54:58 UTC,2020-06-30 21:27:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51514241,https://inaturalist-open-data.s3.amazonaws.com/photos/81852986/medium.jpg,,,,1,0,False,3.0,"Buckinghamshire, England, GB",51.7392482679,-0.9336191776,3720.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7392482679,-0.9336191776,2015-07-19,photo_119.png
52775971,2020/07/11 2:35 PM UTC,2020-07-11,,UTC,2770400,chartshorne,2020-07-12 08:35:52 UTC,2020-07-12 09:05:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52775971,https://inaturalist-open-data.s3.amazonaws.com/photos/83916241/medium.jpeg,,,,2,0,False,,"Oxfordshire, England, GB",51.6345446789,-1.1389954652,2.0,26164,,obscured,True,,,Rotmilan,Milvus milvus,Rotmilan,Aves,5267,51.6345446789,-1.1389954652,2020-07-11,photo_120.png
53188243,Sat Jun 20 2020 14:48:01 GMT+0100 (GMT+1),2020-06-20,2020-06-20 12:48:01 UTC,Amsterdam,1450851,remington77,2020-07-15 19:52:51 UTC,2020-07-22 14:05:21 UTC,research,,https://www.inaturalist.org/observations/53188243,https://static.inaturalist.org/photos/84581642/medium.jpg,,,,3,0,False,3.0,"England, GB",51.5616644947,-0.9392315937,22.0,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.5616644947,-0.9392315937,2020-06-20,photo_121.png
53427282,2016/03/13 2:03 PM EDT,2016-03-13,2016-03-13 18:03:00 UTC,Eastern Time (US & Canada),355844,dms215,2020-07-18 01:16:29 UTC,2020-07-22 14:03:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/53427282,https://inaturalist-open-data.s3.amazonaws.com/photos/84974637/medium.jpeg,,,,2,0,False,,"England, GB",51.5657575189,-0.5588386122,,26196,,obscured,True,,,isohaarahaukka,Milvus milvus,Rotmilan,Aves,5267,51.5657575189,-0.5588386122,2016-03-13,photo_122.png
55009376,2020-08-01T07:41:41+01:00,2020-08-01,2020-08-01 06:41:41 UTC,London,3220198,goldenarrow74,2020-08-01 06:41:56 UTC,2020-08-01 06:42:04 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/55009376,https://inaturalist-open-data.s3.amazonaws.com/photos/87565409/medium.jpeg,,,,0,0,False,333.0,"England, GB",51.6781762995,-0.901158209,,26164,,obscured,True,,,,Milvus milvus,Rotmilan,Aves,5267,51.6781762995,-0.901158209,2020-08-01,photo_123.png
55191673,Sun Jul 31 2016 12:36:13 GMT+0100 (GMT+1),2016-07-31,2016-07-31 10:36:13 UTC,Amsterdam,2645565,floatinggarden,2020-08-02 19:15:32 UTC,2020-08-03 16:34:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55191673,https://inaturalist-open-data.s3.amazonaws.com/photos/87864183/medium.jpg,,,Camping and Caravanning site feeding birds ,2,0,False,3.0,"England, GB",51.7325746945,-0.8737335942,142.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7325746945,-0.8737335942,2016-07-31,photo_124.png
57014471,Mon Aug 17 2020 12:07:59 GMT+0100 (GMT+1),2020-08-17,2020-08-17 10:07:59 UTC,Amsterdam,756063,akhiara,2020-08-20 11:27:45 UTC,2020-08-22 07:49:54 UTC,research,,https://www.inaturalist.org/observations/57014471,https://static.inaturalist.org/photos/90909132/medium.jpg,,,,1,0,False,3.0,"Oxfordshire, England, GB",51.7037707961,-1.1140763712,8.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7037707961,-1.1140763712,2020-08-17,photo_125.png
57817065,2020/08/27 10:38 AM BST,2020-08-27,2020-08-27 09:38:00 UTC,Edinburgh,2727560,saltwellsbirder,2020-08-28 11:00:11 UTC,2020-08-28 14:31:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/57817065,https://inaturalist-open-data.s3.amazonaws.com/photos/92256000/medium.jpg,,,,2,0,False,,"England, GB",51.6197193876,-0.9310584989,31.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6197193876,-0.9310584989,2020-08-27,photo_126.png
58136520,2019/05/20 9:29 AM BST,2019-05-20,2019-05-20 08:29:00 UTC,Edinburgh,2573975,aslan1758,2020-08-31 11:49:18 UTC,2020-09-11 14:22:48 UTC,research,,https://www.inaturalist.org/observations/58136520,https://static.inaturalist.org/photos/92792300/medium.jpeg,,"UK, Oxfordshire, Birds, Kites, Red kite, Flight, Wild",Red kite (Milvus milvus),4,0,False,,"England, GB",51.6114971845,-0.9687800917,,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6114971845,-0.9687800917,2019-05-20,photo_127.png
58414005,2020/04/05 4:41 PM BST,2020-04-05,2020-04-05 15:41:00 UTC,Edinburgh,3550387,quadrant2,2020-09-03 14:03:24 UTC,2020-09-03 18:48:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58414005,https://inaturalist-open-data.s3.amazonaws.com/photos/93259725/medium.jpeg,,,,3,0,False,,"England, GB",51.5817235634,-0.8236605919,61.0,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.5817235634,-0.8236605919,2020-04-05,photo_128.png
59368816,2020-09-12 11:18:00 AM GMT+01:00,2020-09-12,2020-09-12 09:18:00 UTC,Amsterdam,2732051,charlenejones,2020-09-12 21:03:55 UTC,2020-09-13 05:44:07 UTC,research,,https://www.inaturalist.org/observations/59368816,https://static.inaturalist.org/photos/94854272/medium.jpeg,,,,1,0,False,2.0,"England, GB",51.6073866799,-0.8685115328,,26164,,obscured,True,gps,gps,Rotmilan,Milvus milvus,Rotmilan,Aves,5267,51.6073866799,-0.8685115328,2020-09-12,photo_129.png
61105588,2020-09-12 6:32:11 PM GMT+01:00,2020-09-12,2020-09-12 16:32:11 UTC,Amsterdam,2829793,katu1,2020-09-28 15:11:14 UTC,2021-10-13 16:04:39 UTC,research,,https://www.inaturalist.org/observations/61105588,https://static.inaturalist.org/photos/97750786/medium.jpeg,,,,1,0,False,2.0,"England, GB",51.6546588094,-0.8507248062,1890.0,26164,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6546588094,-0.8507248062,2020-09-12,photo_130.png
